Area_Name,Year,Auto_Theft_Stolen,CPA_Cases_Registered,Victims_Total,Cases_Property_Stolen,Rape_Cases_Reported
Andaman & Nicobar Islands,2001.0,4.0,10.0,6.0,64,3.0
Andhra Pradesh,2001.0,2725.0,3078.0,607.0,7134,1.0
Arunachal Pradesh,2001.0,27.0,24.0,16.0,248,2.0
Assam,2001.0,205.0,17.0,128.0,2423,2.0
Bihar,2001.0,946.0,1.0,366.0,3231,0.0
Chandigarh,2001.0,281.0,6.0,5.0,364,2.0
Chhattisgarh,2001.0,790.0,137.0,549.0,4144,2.0
Dadra & Nagar Haveli,2001.0,12.0,0.0,152.0,34,0.0
Delhi,2001.0,3185.0,0.0,13.0,43,2.0
Goa,2001.0,152.0,184.0,363.0,3029,10.0
Gujarat,2001.0,4830.0,2.0,143.0,347,0.0
Haryana,2001.0,1967.0,417.0,39.0,4928,10.0
Himachal Pradesh,2001.0,47.0,9.0,187.0,3098,4.0
Jammu & Kashmir,2001.0,460.0,7.0,291.0,812,0.0
Jharkhand,2001.0,211.0,44.0,577.0,1345,4.0
Karnataka,2001.0,3087.0,12.0,156.0,1150,6.0
Kerala,2001.0,1038.0,183.0,2.0,6394,0.0
Madhya Pradesh,2001.0,3756.0,115.0,622.0,4185,6.0
Maharashtra,2001.0,6244.0,1.0,1068.0,1,3.0
Manipur,2001.0,57.0,635.0,8.0,13549,0.0
Meghalaya,2001.0,22.0,464.0,6.0,13881,3.0
Mizoram,2001.0,11.0,0.0,12.0,75,12.0
Nagaland,2001.0,53.0,6.0,2.0,170,0.0
Odisha,2001.0,778.0,9.0,260.0,417,12.0
Puducherry,2001.0,281.0,76.0,10.0,84,18.0
Punjab,2001.0,609.0,72.0,203.0,3061,0.0
Rajasthan,2001.0,3273.0,4.0,248.0,111,18.0
Sikkim,2001.0,2.0,191.0,6.0,1902,24.0
Tamil Nadu,2001.0,3858.0,110.0,525.0,6867,0.0
Tripura,2001.0,10.0,109.0,9.0,71,24.0
Uttar Pradesh,2001.0,4046.0,90.0,1323.0,5919,871.0
Uttarakhand,2001.0,236.0,13.0,110.0,198,4.0
West Bengal,2001.0,1904.0,1233.0,358.0,6953,867.0
Andaman & Nicobar Islands,2002.0,2.0,25.0,7.0,533,1002.0
Andhra Pradesh,2002.0,3025.0,13.0,662.0,426,5.0
Arunachal Pradesh,2002.0,49.0,13.0,4.0,49,997.0
Assam,2002.0,485.0,159.0,111.0,7581,946.0
Bihar,2002.0,996.0,40.0,397.0,249,15.0
Chandigarh,2002.0,328.0,17.0,9.0,2504,931.0
Chhattisgarh,2002.0,752.0,16.0,228.0,3182,1016.0
Dadra & Nagar Haveli,2002.0,31.0,6.0,1.0,336,5.0
Daman & Diu,2002.0,32.0,19.0,2.0,3731,1011.0
Delhi,2002.0,3291.0,0.0,130.0,38,935.0
Goa,2002.0,138.0,0.0,7.0,56,18.0
Gujarat,2002.0,5318.0,92.0,594.0,2360,917.0
Haryana,2002.0,1920.0,2.0,156.0,359,1049.0
Himachal Pradesh,2002.0,63.0,244.0,34.0,5153,1.0
Jammu & Kashmir,2002.0,270.0,3.0,163.0,3048,1048.0
Jharkhand,2002.0,597.0,8.0,306.0,642,1070.0
Karnataka,2002.0,3376.0,38.0,595.0,1321,7.0
Kerala,2002.0,1272.0,5103.0,155.0,1419,1063.0
Madhya Pradesh,2002.0,4225.0,57.0,537.0,6480,1257.0
Maharashtra,2002.0,6777.0,93.0,966.0,4447,13.0
Manipur,2002.0,98.0,1.0,14.0,9,1244.0
Meghalaya,2002.0,31.0,3.0,25.0,13344,1188.0
Mizoram,2002.0,18.0,323.0,9.0,13273,2.0
Nagaland,2002.0,89.0,0.0,3.0,44,1186.0
Odisha,2002.0,784.0,2.0,346.0,153,1362.0
Puducherry,2002.0,249.0,5.0,11.0,446,0.0
Punjab,2002.0,725.0,6.0,141.0,110,1362.0
Rajasthan,2002.0,3696.0,53.0,261.0,2755,33.0
Tamil Nadu,2002.0,4319.0,0.0,518.0,129,0.0
Tripura,2002.0,71.0,207.0,12.0,1928,33.0
Uttar Pradesh,2002.0,4126.0,124.0,1453.0,6300,38.0
Uttarakhand,2002.0,253.0,0.0,67.0,45,0.0
West Bengal,2002.0,2704.0,313.0,272.0,5492,38.0
Andaman & Nicobar Islands,2003.0,3.0,11.0,9.0,192,31.0
Andhra Pradesh,2003.0,3865.0,1978.0,737.0,4861,0.0
Arunachal Pradesh,2003.0,49.0,32.0,0.0,496,31.0
Assam,2003.0,497.0,10.0,103.0,348,42.0
Bihar,2003.0,1183.0,9.0,393.0,56,0.0
Chandigarh,2003.0,274.0,140.0,6.0,8969,42.0
Chhattisgarh,2003.0,752.0,6.0,216.0,253,35.0
Dadra & Nagar Haveli,2003.0,10.0,15.0,3.0,2606,0.0
Daman & Diu,2003.0,26.0,4.0,0.0,2986,35.0
Delhi,2003.0,3360.0,4.0,131.0,204,37.0
Goa,2003.0,124.0,28.0,14.0,3621,0.0
Gujarat,2003.0,6131.0,1.0,356.0,41,37.0
Haryana,2003.0,1989.0,0.0,151.0,41,48.0
Himachal Pradesh,2003.0,78.0,108.0,34.0,1898,0.0
Jammu & Kashmir,2003.0,301.0,1.0,102.0,244,48.0
Jharkhand,2003.0,137.0,242.0,396.0,5684,42.0
Karnataka,2003.0,3597.0,15.0,525.0,2967,0.0
Kerala,2003.0,1070.0,4.0,126.0,645,42.0
Lakshadweep,2003.0,1.0,44.0,454.0,1526,59.0
Madhya Pradesh,2003.0,4291.0,5106.0,996.0,1374,0.0
Maharashtra,2003.0,7078.0,74.0,11.0,6049,59.0
Manipur,2003.0,107.0,82.0,10.0,4164,47.0
Meghalaya,2003.0,41.0,0.0,9.0,6,0.0
Mizoram,2003.0,31.0,29.0,6.0,12641,47.0
Nagaland,2003.0,197.0,488.0,333.0,13202,817.0
