Area_Name,Auto_Theft_Stolen,CPA_Cases_Registered,Victims_Total,Cases_Property_Stolen,Rape_Cases_Reported
Kerala,1233.0,50.0,137.0,2779,1721.0
Madhya Pradesh,5481.0,4.0,494.0,722,13.0
Maharashtra,8748.0,284.0,1004.0,1420,1708.0
Manipur,106.0,0.0,15.0,1419,888.0
Meghalaya,38.0,55.0,8.0,6093,8.0
Mizoram,0.0,60.0,4.0,4359,880.0
Nagaland,24.0,0.0,17.0,2,1040.0
Odisha,1300.0,44.0,357.0,12130,3.0
Puducherry,313.0,412.0,3.0,13896,1037.0
Punjab,629.0,1.0,194.0,66,985.0
Rajasthan,5434.0,6.0,287.0,130,1.0
Tamil Nadu,3645.0,2.0,5.0,250,984.0
Tripura,28.0,10.0,493.0,52,1390.0
Uttar Pradesh,6449.0,81.0,44.0,2990,6.0
Uttarakhand,387.0,3.0,1401.0,86,1384.0
West Bengal,2093.0,94.0,47.0,1766,1147.0
Andaman & Nicobar Islands,5.0,127.0,425.0,5619,10.0
Andhra Pradesh,4659.0,0.0,4.0,64,1137.0
Arunachal Pradesh,117.0,113.0,722.0,4147,1232.0
Assam,551.0,3.0,1.0,166,7.0
Bihar,1983.0,667.0,65.0,4192,1225.0
Chandigarh,368.0,20.0,442.0,516,1555.0
Chhattisgarh,1426.0,62.0,3.0,547,2.0
Dadra & Nagar Haveli,14.0,19.0,323.0,68,1553.0
Daman & Diu,18.0,6271.0,158.0,7894,1302.0
Delhi,4574.0,0.0,14.0,263,3.0
Goa,158.0,28.0,346.0,2255,1299.0
Gujarat,6199.0,13.0,143.0,3117,929.0
Haryana,3696.0,0.0,36.0,223,1.0
Himachal Pradesh,65.0,40.0,102.0,3621,928.0
Jammu & Kashmir,291.0,0.0,173.0,25,795.0
Jharkhand,476.0,0.0,585.0,37,2.0
Karnataka,5073.0,86.0,147.0,2093,793.0
Kerala,1203.0,3.0,1.0,257,18.0
Madhya Pradesh,5741.0,267.0,528.0,5140,2.0
Maharashtra,9518.0,94.0,980.0,3425,16.0
Manipur,90.0,3.0,19.0,691,18.0
Meghalaya,23.0,34.0,19.0,1397,2.0
Mizoram,0.0,1.0,4.0,1600,16.0
Nagaland,170.0,65.0,17.0,5986,18.0
Odisha,1525.0,186.0,326.0,3914,1.0
Puducherry,224.0,0.0,9.0,2,17.0
Punjab,695.0,588.0,187.0,11192,19.0
Rajasthan,5425.0,434.0,296.0,14735,1.0
Sikkim,1.0,4.0,4.0,62,18.0
Tamil Nadu,3108.0,6.0,462.0,137,33.0
Tripura,52.0,0.0,64.0,442,1.0
Uttar Pradesh,5895.0,4.0,1354.0,93,32.0
Uttarakhand,339.0,55.0,53.0,3029,19.0
West Bengal,2166.0,3.0,365.0,67,5.0
Andaman & Nicobar Islands,5.0,98.0,1.0,1933,14.0
Andhra Pradesh,4554.0,116.0,744.0,5003,22.0
Arunachal Pradesh,74.0,0.0,0.0,79,2.0
Assam,674.0,126.0,76.0,3738,20.0
Bihar,1700.0,10.0,413.0,170,20.0
Chandigarh,361.0,1378.0,4.0,3496,3.0
Chhattisgarh,1910.0,9.0,336.0,489,17.0
Dadra & Nagar Haveli,12.0,24.0,3.0,739,29.0
Daman & Diu,19.0,14.0,2.0,82,0.0
Delhi,4627.0,5461.0,128.0,8169,29.0
Goa,170.0,8.0,10.0,257,31.0
Gujarat,6409.0,11.0,366.0,2911,0.0
Haryana,4641.0,10.0,156.0,3531,31.0
Himachal Pradesh,74.0,2.0,31.0,189,959.0
Jammu & Kashmir,287.0,28.0,76.0,3507,6.0
Jharkhand,1118.0,0.0,214.0,41,953.0
Karnataka,4808.0,0.0,588.0,60,992.0
Kerala,1200.0,113.0,138.0,1950,63.0
Lakshadweep,2.0,1.0,510.0,230,929.0
Madhya Pradesh,6771.0,232.0,995.0,5363,898.0
Maharashtra,10104.0,18.0,9.0,3996,39.0
Manipur,103.0,2477.0,11.0,732,859.0
Meghalaya,56.0,63.0,3.0,1351,969.0
Mizoram,37.0,3.0,8.0,1428,78.0
Nagaland,50.0,55.0,384.0,5967,891.0
Odisha,1410.0,99.0,9.0,3948,990.0
Puducherry,304.0,0.0,237.0,2,110.0
Punjab,844.0,819.0,249.0,10729,880.0
Rajasthan,5716.0,417.0,7.0,14723,995.0
Sikkim,1.0,0.0,515.0,55,97.0
Tamil Nadu,2784.0,4.0,34.0,140,898.0
Tripura,15.0,7.0,927.0,408,982.0
Uttar Pradesh,6571.0,7.0,55.0,68,63.0
Uttarakhand,374.0,2481.0,447.0,3118,919.0
West Bengal,2303.0,3.0,6.0,84,978.0
Andaman & Nicobar Islands,8.0,86.0,886.0,2277,31.0
Andhra Pradesh,5616.0,135.0,3.0,4879,947.0
Arunachal Pradesh,104.0,0.0,88.0,84,976.0
Assam,545.0,115.0,390.0,3300,24.0
Bihar,1871.0,17.0,6.0,182,952.0
Chandigarh,474.0,825.0,310.0,3545,1012.0
Chhattisgarh,1684.0,8.0,4.0,410,21.0
Dadra & Nagar Haveli,16.0,27.0,1.0,601,991.0
Daman & Diu,22.0,20.0,127.0,90,6.0
Delhi,4641.0,200.0,16.0,7609,0.0
Goa,180.0,16.0,314.0,240,6.0
Gujarat,7252.0,18.0,167.0,2603,4.0
Haryana,4746.0,7.0,35.0,3259,0.0
Himachal Pradesh,114.0,3.0,40.0,191,4.0
Jammu & Kashmir,221.0,6.0,237.0,3632,1.0
Jharkhand,1250.0,0.0,505.0,28,0.0
Karnataka,4877.0,0.0,141.0,46,1.0
Kerala,1298.0,87.0,551.0,2055,7.0
Lakshadweep,2.0,11.0,1014.0,271,0.0
Madhya Pradesh,7864.0,226.0,20.0,4747,7.0
Maharashtra,11189.0,19.0,7.0,4231,5.0
Manipur,115.0,6.0,18.0,831,0.0
Meghalaya,45.0,17.0,14.0,1458,5.0
Mizoram,51.0,0.0,372.0,1489,6.0
Nagaland,117.0,86.0,10.0,5449,0.0
Odisha,1525.0,89.0,225.0,3824,6.0
Puducherry,478.0,0.0,319.0,2,7.0
